Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA(Kannada)-2022,63: MUHURTHA(Tarabhala; Chandra Bhala; Lagna Bhala),gCFQaw_DPi4, https://drive.google.com/drive/folders/1b7cuqSwLbLtWX_0RMiosfuEUa6uE0m84
JYOTISHA(Kannada)-2022,64: Muhurtha(Lagna Bhala & Eka-Vimshathi Doshagalu),6ypk3JKpfgI, none
JYOTISHA(Kannada)-2022,65: MUHURTHA-PRACTICE-1,R1xPzUwLusI, none
JYOTISHA(Kannada)-2022,66: PUSHKARAMSHA; PANCHAKA; ABHIJITH LAGNA & Muhurtha Practice,JmzDZA63yr0, none
JYOTISHA(Kannada)-2022,67: UPANAYANA & NAMAKARANA MUHURTHA,-idyxfw-KXI, none
JYOTISHA(Kannada)-2022,68: MISCELLANEOUS  MUHURTHAs,P6ctjfnpmW8, none
JYOTISHA(Kannada)-2022,69: Effects of Retrograde Planet,9eycp-zNSzo, none
JYOTISHA(Kannada)-2022,70: PROPERTY BUYING & SELLING,CdGUyGFarOA, none
JYOTISHA(Kannada)-2022,71: Income; Expenditure & Savings,nCEYeZuEzKs, none
JYOTISHA(Kannada)-2022,72: Analysing Dwiteeya Sthaana,6o9IYVeIQR8, none
JYOTISHA(Kannada)-2022,73: Predicting Huge Income through Indu/Shree Lagna,-38wll_qe70, none
JYOTISHA(Kannada)-2022,74: Dhana Sthaana - Practical Examples,jzLbvVmUIMI, none
JYOTISHA(Kannada)-2022,75: ಹಣ ಸಂಪಾಧನೆ@ವೇದ,fpm0bTbR4PI, none
JYOTISHA(Kannada)-2022,76: Understanding Human Desires as per Astrology(ಮೋಹ ವಿಚಾರ),rIXm-_bYHV8, none
JYOTISHA(Kannada)-2022,77: Finance (Questions & Answers),UMSelMN0o_k, none
JYOTISHA(Kannada)-2022,78: Is horoscope matching necessary for marriage? ವಿವಾಹಕ್ಕೆ ಜಾತಕ ಕೂಡಿ ಬರುವುದು ಅಗತ್ಯವೇ..?,ziuuC-MlbRo, none
JYOTISHA(Kannada)-2022,79: Miscellaneous Questions (Divorce & Jataka-Dashe-Gochara),MmWJ82m93Wg, none
JYOTISHA(Kannada)-2022,80: Medical Astrology(Introduction),uJNSraeLZ14, none
JYOTISHA(Kannada)-2022,81: Roga Sthana Vs Lagna Sthaana,4YSKaEmixtA, none
JYOTISHA(Kannada)-2022,82: Planets-Signifying Disease (ಗ್ರಹಗಳು – ರೋಗ ಕಾರಕತ್ವಗಳು),9c4eDRmY5l4, none
JYOTISHA(Kannada)-2022,83: Planets-Signifying Disease-2 (ಗ್ರಹಗಳು – ರೋಗ ಕಾರಕತ್ವಗಳು),DmpZoRefYbs, none
